Employee ID;Date of Joining;Gender;Company Type;WFH Setup Available;Designation;Resource Allocation;Mental Fatigue Score;Burn Rate;Years in Company;Work Hours per Week;Sleep Hours;Work-Life Balance Score;Manager Support Score;Deadline Pressure Score;Team Size;Recognition Frequency
fffe31003500390030003200;21/03/2008;Male;Service;No;2;6.0;7.4;0.65;16;59;5.3;2;3;5;6;0
fffe31003500360032003800;22/07/2008;Female;Service;Yes;2;5.0;6.4;0.49;16;57;6.5;2;1;5;4;0
fffe31003300360038003700;20/05/2008;Female;Service;No;1;2.0;5.1;;16;38;7.7;3;4;2;3;3
fffe32003100320039003700;23/01/2008;Male;Service;Yes;1;3.0;5.6;0.38;16;37;6.2;3;3;3;15;5
fffe31003200340033003100;09/10/2008;Male;Product;No;2;5.0;7.4;0.62;16;54;5.5;1;2;4;16;0
fffe33003100340034003900;10/09/2008;Female;Product;Yes;3;5.0;6.1;0.39;16;37;7.7;3;4;3;3;3
fffe32003100340032003800;26/05/2008;Female;Product;Yes;2;4.0;3.1;0.15;16;44;7.4;5;3;3;14;2
fffe380030003100;22/12/2008;Male;Service;No;2;5.0;8.0;0.61;16;58;4.4;1;2;4;6;0
fffe3900310031003800;08/04/2008;Female;Product;No;1;2.0;4.0;0.26;16;39;7.3;3;4;1;3;4
fffe3200390030003200;22/12/2008;Female;Service;No;2;2.0;3.6;0.28;16;43;6.3;4;5;3;17;3
fffe3800370031003300;25/02/2008;Male;Product;Yes;2;5.0;8.7;0.71;16;50;5.9;2;1;4;6;1
fffe3300320030003200;24/04/2008;Male;Product;No;3;;8.0;0.68;16;52;5.9;1;1;5;6;1
fffe33003200310034003500;08/01/2008;Female;Service;No;3;5.0;6.8;0.57;16;58;5.3;1;1;4;14;0
fffe32003200310030003200;20/11/2008;Female;Service;Yes;2;3.0;4.9;0.39;16;43;6.7;3;3;3;9;4
fffe3300300031003100;11/09/2008;Female;Product;No;3;6.0;7.9;0.61;16;59;5.2;2;3;5;4;0
fffe33003300310030003900;11/06/2008;Male;Product;No;3;6.0;7.6;0.62;16;55;5.8;2;3;4;12;1
fffe31003200340034003500;28/02/2008;Female;Service;No;5;9.0;9.2;0.8;16;56;5.8;1;3;4;5;1
fffe32003400320036003200;03/05/2008;Male;Service;Yes;4;6.0;6.5;0.63;16;53;5.5;1;3;4;12;0
fffe3600330031003200;20/08/2008;Female;Service;No;3;5.0;6.8;0.6;16;49;4.9;2;2;4;11;1
fffe31003300330034003700;18/10/2008;Female;Product;No;4;8.0;8.7;0.79;16;59;5.6;1;3;5;12;0
fffe3600330032003400;14/08/2008;Male;Service;Yes;2;5.0;6.2;0.39;16;40;6.7;3;3;3;19;5
fffe3500300037003900;08/01/2008;Female;Service;No;3;5.0;5.8;0.36;16;44;6.0;3;4;2;18;4
fffe33003400360037003500;17/07/2008;Female;Product;No;2;4.0;6.6;0.5;16;59;4.6;2;1;4;17;0
fffe32003500310039003700;11/09/2008;Male;Product;No;4;7.0;8.2;0.72;16;52;6.0;2;2;4;16;1
fffe32003600370032003500;05/07/2008;Female;Service;Yes;2;3.0;4.9;0.34;16;43;7.2;4;5;1;9;3
fffe3200350037003200;04/02/2008;Female;Service;No;1;2.0;4.1;0.27;16;38;6.8;5;3;1;3;4
fffe3800390036003200;01/08/2008;Male;Service;No;3;7.0;7.4;0.66;16;49;6.1;1;2;4;11;0
fffe3400390032003600;01/05/2008;Female;Product;Yes;0;1.0;;0.04;16;36;7.2;5;4;2;13;2
fffe33003300360032003700;21/05/2008;Male;Service;Yes;1;2.0;4.4;0.27;16;43;7.1;4;5;2;14;5
fffe32003600360039003700;26/11/2008;Female;Service;No;2;6.0;6.9;0.67;16;59;5.1;1;3;4;18;1
fffe3200360031003700;21/10/2008;Female;Product;Yes;1;2.0;5.3;0.38;16;35;6.2;4;5;1;6;5
fffe33003300350036003100;19/03/2008;Female;Service;Yes;2;2.0;4.3;0.28;16;38;6.8;3;3;3;7;4
fffe31003600360039003900;27/09/2008;Male;Product;Yes;0;1.0;0.8;0.05;16;38;7.6;4;5;3;15;4
fffe31003500340038003100;28/03/2008;Female;Service;Yes;2;4.0;2.9;0.22;16;38;7.3;3;3;3;10;4
fffe32003400320034003800;12/03/2008;Female;Service;Yes;1;3.0;5.0;0.39;16;35;6.6;5;4;1;18;2
fffe31003300310036003300;20/05/2008;Male;Service;Yes;1;4.0;6.9;0.52;16;59;5.3;1;3;5;12;0
fffe33003100300031003200;17/09/2008;Female;Service;No;3;5.0;4.7;0.39;16;37;6.7;5;4;2;11;4
fffe31003300310037003900;13/02/2008;Female;Service;No;1;3.0;2.0;0.11;16;38;7.3;4;4;3;3;4
fffe3300300036003900;19/09/2008;Female;Service;No;2;4.0;5.4;0.44;16;59;6.0;1;2;4;14;1
fffe3300360039003000;03/07/2008;Male;Product;No;2;5.0;6.1;0.5;16;51;6.3;1;2;4;16;1
fffe3500340030003800;27/10/2008;Female;Product;Yes;1;4.0;5.1;0.41;16;48;5.9;2;3;4;14;1
fffe3800390038003000;09/08/2008;Female;Service;Yes;1;2.0;3.8;;16;39;6.9;4;5;2;6;5
fffe31003500310038003800;22/01/2008;Male;Product;No;4;9.0;;0.76;16;57;5.4;1;1;5;14;1
fffe340035003800;15/04/2008;Female;Service;Yes;3;5.0;4.7;0.43;16;57;5.0;1;2;4;6;1
fffe31003700300036003800;26/10/2008;Male;Service;Yes;3;5.0;5.4;0.46;16;59;5.0;2;2;5;8;0
fffe32003900320033003900;31/01/2008;Female;Service;No;4;7.0;9.1;0.85;16;59;5.9;2;1;5;14;1
fffe380031003300;03/01/2008;Male;Service;Yes;1;3.0;5.0;0.35;17;41;7.0;3;3;2;8;4
fffe33003200330030003500;13/03/2008;Male;Product;No;1;1.0;0.0;0.0;16;36;7.3;4;3;1;19;4
fffe33003300390037003700;27/03/2008;Male;Product;Yes;2;4.0;4.3;0.34;16;40;6.7;3;3;3;13;5
fffe31003500380034003100;20/08/2008;Female;Service;Yes;2;;6.7;0.44;16;51;5.4;1;3;4;8;0
fffe32003500370036003100;11/10/2008;Female;Product;No;2;5.0;5.7;0.55;16;48;6.8;1;2;4;18;0
fffe33003200300033003500;15/11/2008;Male;Service;Yes;4;6.0;6.8;0.62;16;59;5.8;1;1;5;16;1
fffe32003500370037003600;17/08/2008;Male;Service;No;3;6.0;7.6;0.72;16;52;5.0;1;2;4;13;0
fffe32003400380030003100;30/11/2008;Male;Product;Yes;3;8.0;8.3;0.71;16;57;5.5;1;1;5;11;0
fffe32003800330033003400;08/08/2008;Female;Product;No;1;3.0;5.5;0.39;16;35;6.3;4;5;3;17;4
fffe32003500360037003200;28/06/2008;Female;Service;No;1;3.0;5.3;0.48;16;53;4.8;2;3;4;15;1
fffe31003700350033003000;06/05/2008;Female;Service;No;3;7.0;8.0;0.7;16;49;5.6;2;3;4;3;1
fffe3900300032003700;17/12/2008;Male;Service;Yes;4;6.0;6.4;0.56;16;51;6.0;1;2;5;18;0
fffe3400320031003800;08/09/2008;Female;Service;Yes;1;3.0;3.6;0.27;16;37;7.3;4;5;2;13;3
fffe3300360035003600;04/07/2008;Female;Product;Yes;2;5.0;7.0;0.66;16;56;5.3;2;3;5;12;0
fffe31003900360033003300;28/10/2008;Female;Product;No;3;7.0;7.6;0.56;16;54;5.1;1;2;4;17;0
fffe32003800300036003600;06/05/2008;Male;Service;No;2;5.0;8.7;0.79;16;55;5.8;1;1;5;4;1
fffe31003900310039003200;19/02/2008;Female;Product;Yes;0;1.0;2.6;0.18;16;36;6.3;5;4;3;9;4
fffe3400390037003700;08/04/2008;Female;Service;Yes;2;4.0;4.7;0.33;16;42;6.0;3;3;2;16;3
fffe31003600300039003700;11/02/2008;Male;Service;Yes;2;4.0;6.4;0.4;16;42;7.3;4;5;1;10;4
fffe33003100380034003500;02/03/2008;Female;Service;No;2;5.0;5.8;0.39;16;40;8.2;4;3;2;8;5
fffe3800380039003400;10/08/2008;Female;Service;No;1;1.0;3.3;0.23;16;41;6.8;3;3;2;5;3
fffe31003500390038003000;04/01/2008;Female;Product;Yes;2;4.0;5.9;0.45;17;59;5.5;1;3;5;19;1
fffe3600310036003700;12/10/2008;Female;Product;No;2;;7.8;0.67;16;50;5.6;2;1;4;4;0
fffe3800390030003800;14/11/2008;Male;Product;Yes;1;3.0;7.0;0.52;16;55;6.0;1;2;4;15;1
fffe3300390033003100;02/09/2008;Female;Service;No;4;7.0;7.2;0.6;16;58;5.4;1;2;4;6;1
fffe3900330037003500;04/10/2008;Male;Service;Yes;3;7.0;7.9;0.59;16;54;5.6;2;2;4;3;0
fffe31003400350030003200;31/05/2008;Female;Product;No;3;5.0;;;16;44;6.6;5;4;3;10;2
fffe3300360038003700;16/09/2008;Female;Service;Yes;1;3.0;5.9;0.36;16;43;7.6;3;3;1;15;3
fffe32003400390034003500;03/03/2008;Male;Service;No;1;3.0;4.4;0.29;16;35;7.3;3;5;2;18;4
fffe33003100300035003600;21/02/2008;Male;Service;Yes;2;5.0;5.2;0.34;16;38;7.1;4;3;2;12;5
fffe31003900380032003800;26/03/2008;Female;Product;Yes;2;4.0;5.3;0.34;16;41;7.1;3;3;2;9;3
fffe3900340036003300;03/02/2008;Male;Service;No;3;5.0;;;16;43;6.4;5;3;1;9;4
fffe31003900300036003900;04/12/2008;Female;Service;No;4;6.0;;0.67;16;56;5.8;2;2;4;16;1
fffe31003600300030003000;05/09/2008;Female;Product;Yes;4;;8.9;0.76;16;53;5.1;1;3;5;3;1
fffe390031003100;17/09/2008;Female;Product;Yes;3;4.0;5.2;0.46;16;59;5.0;2;2;5;11;1
fffe31003300380039003700;24/02/2008;Male;Service;Yes;2;5.0;4.5;0.36;16;42;7.8;5;5;2;3;4
fffe32003700390032003000;09/12/2008;Female;Product;No;2;3.0;6.6;0.45;16;54;4.9;1;1;4;19;1
fffe32003000300035003100;19/01/2008;Female;Product;Yes;3;5.0;3.8;0.27;16;36;7.0;3;5;1;10;4
fffe33003400340033003100;26/01/2008;Male;Product;No;3;7.0;7.6;0.65;16;52;5.3;1;3;4;5;1
fffe32003200360039003000;10/05/2008;Female;Service;Yes;1;4.0;;;16;36;7.4;3;3;1;3;3
fffe3900380037003500;16/05/2008;Female;Product;Yes;3;6.0;5.6;0.34;16;37;6.3;4;4;2;18;2
fffe31003300380033003700;10/08/2008;Female;Service;Yes;1;3.0;5.4;0.37;16;41;7.3;5;5;1;4;2
fffe33003000340037003600;28/06/2008;Male;Product;Yes;1;2.0;4.9;0.25;16;37;7.0;5;3;3;11;2
fffe32003600370033003700;07/05/2008;Male;Service;No;2;5.0;7.3;0.57;16;57;5.3;2;3;4;13;1
fffe3600320032003900;03/05/2008;Male;Service;No;2;5.0;5.6;0.52;16;58;5.5;2;2;4;19;0
fffe31003100360037003000;16/09/2008;Female;Product;Yes;3;4.0;5.7;;16;37;6.8;3;5;1;13;5
fffe3400330035003800;16/10/2008;Female;Product;No;4;8.0;7.8;0.75;16;55;6.0;2;3;5;18;0
fffe3600380039003200;09/07/2008;Female;Product;Yes;4;7.0;6.7;0.55;16;59;4.5;1;3;5;17;1
fffe31003700330032003400;11/03/2008;Female;Service;No;1;4.0;6.5;0.43;16;56;6.5;1;3;5;8;0
fffe32003900320030003300;15/08/2008;Female;Service;Yes;0;1.0;1.8;0.1;16;35;6.5;5;4;1;17;3
fffe32003600370036003700;25/08/2008;Female;Product;No;3;6.0;8.1;0.68;16;58;6.0;1;2;4;18;1
fffe3500320039003100;14/12/2008;Male;Product;No;2;5.0;6.9;;16;37;7.7;4;4;2;12;3
fffe33003400300034003600;26/04/2008;Male;Service;Yes;3;7.0;6.4;0.56;16;59;5.9;1;3;4;8;0
fffe3400350037003000;26/01/2008;Male;Service;Yes;3;8.0;7.2;0.73;16;53;5.7;2;1;5;17;1
fffe32003800370034003800;05/09/2008;Female;Service;No;2;5.0;8.6;0.7;16;50;5.0;2;1;4;10;0
fffe31003500390039003000;03/04/2008;Male;Service;No;2;5.0;;0.58;16;49;6.4;1;2;5;18;0
fffe31003300330030003000;19/12/2008;Male;Product;No;4;8.0;9.5;0.88;16;59;6.0;1;2;4;8;1
fffe31003100370035003400;13/08/2008;Male;Product;Yes;2;6.0;6.8;0.63;16;55;6.1;2;2;5;4;0
fffe3100360037003800;08/03/2008;Female;Service;No;2;5.0;6.5;0.62;16;48;5.6;1;1;4;12;1
fffe3500390039003700;14/09/2008;Female;Service;Yes;2;3.0;3.5;0.25;16;36;7.5;5;3;2;13;4
fffe33003400350037003000;24/04/2008;Male;Service;No;2;3.0;4.8;0.4;16;42;6.5;5;4;2;5;3
fffe3300340033003900;05/02/2008;Male;Product;No;3;8.0;7.6;0.77;16;49;6.4;1;3;5;5;1
fffe32003800380038003500;17/02/2008;Male;Product;Yes;3;6.0;6.2;0.58;16;49;5.1;2;2;5;15;0
fffe31003700380039003600;11/09/2008;Female;Product;Yes;3;6.0;3.6;0.3;16;43;6.6;5;3;1;7;2
fffe32003600360038003400;16/04/2008;Male;Product;No;3;6.0;8.0;0.61;16;56;5.6;1;1;4;6;0
fffe31003000340032003700;24/10/2008;Female;Service;Yes;3;5.0;6.0;0.4;16;43;6.6;5;4;3;13;4
fffe3300380034003600;05/03/2008;Female;Service;Yes;1;3.0;3.8;0.33;16;44;7.5;4;5;2;17;2
fffe32003200320034003000;03/04/2008;Female;Product;Yes;1;2.0;2.4;0.06;16;37;6.8;3;3;1;5;3
fffe31003100380033003600;08/08/2008;Male;Service;Yes;1;4.0;4.3;0.36;16;43;7.3;3;3;2;11;4
fffe32003800310031003100;18/09/2008;Female;Service;Yes;1;2.0;3.7;0.28;16;38;6.7;3;4;2;7;4
fffe31003800370033003800;25/09/2008;Male;Service;Yes;2;6.0;;;16;41;6.8;4;4;1;7;5
fffe32003000330031003700;01/03/2008;Male;Product;Yes;2;5.0;5.6;0.37;16;35;6.4;5;5;1;8;3
fffe32003500340034003400;23/05/2008;Female;Service;Yes;0;1.0;1.0;0.03;16;38;6.6;3;3;2;6;5
fffe33003300310035003800;07/09/2008;Female;Product;Yes;2;5.0;7.2;0.67;16;48;5.0;2;3;4;9;0
fffe32003400360033003800;23/03/2008;Male;Service;Yes;1;3.0;6.7;0.46;16;49;5.3;1;2;4;17;0
fffe31003000300032003600;25/01/2008;Female;Service;Yes;1;2.0;;;16;38;6.4;5;4;2;12;5
fffe31003700330032003300;29/12/2008;Female;Service;Yes;3;8.0;7.5;0.72;16;49;4.9;2;1;5;13;1
fffe3900370030003600;15/06/2008;Female;Service;No;3;6.0;;0.69;16;58;5.5;2;2;4;17;1
fffe3900360033003500;27/03/2008;Female;Service;No;4;7.0;7.5;0.65;16;52;5.4;1;3;5;14;0
fffe31003100350037003700;24/02/2008;Female;Product;No;0;1.0;4.0;0.24;16;41;7.0;3;3;1;10;5
fffe31003400350033003700;30/11/2008;Female;Service;Yes;1;3.0;5.3;0.41;16;48;5.9;1;3;4;3;0
fffe3100390034003700;03/10/2008;Female;Product;No;2;5.0;7.5;0.68;16;57;5.6;2;2;4;7;1
fffe31003700380032003400;17/01/2008;Female;Service;Yes;1;2.0;;0.42;16;54;5.5;1;3;5;15;1
fffe31003300310035003400;30/01/2008;Male;Product;No;4;7.0;7.7;0.72;16;52;5.0;1;1;4;3;1
fffe33003400390035003500;28/03/2008;Male;Service;Yes;0;2.0;4.4;0.33;16;44;6.9;3;4;3;8;3
fffe31003600300032003500;21/10/2008;Female;Service;Yes;2;3.0;;0.37;16;44;7.2;5;4;2;15;3
fffe3700370031003700;03/02/2008;Male;Service;Yes;4;6.0;;0.6;16;58;6.3;2;3;4;15;0
fffe31003400340031003500;13/10/2008;Male;Service;Yes;3;5.0;6.5;0.48;16;48;5.6;1;3;5;8;1
fffe32003300340038003400;08/02/2008;Male;Product;Yes;2;4.0;5.5;0.48;16;49;5.7;1;2;4;4;0
fffe31003700310033003400;25/11/2008;Male;Service;No;2;5.0;5.0;0.36;16;38;7.3;3;5;2;4;2
fffe32003000330033003800;23/04/2008;Female;Service;Yes;1;1.0;;0.24;16;43;6.4;3;5;2;10;3
fffe31003400380038003100;07/11/2008;Male;Product;No;4;10.0;9.2;0.91;16;53;5.7;2;3;4;8;1
fffe3400350037003400;20/06/2008;Male;Product;Yes;2;5.0;5.0;;16;38;7.6;3;5;3;3;3
fffe31003000360035003700;23/12/2008;Female;Product;Yes;1;2.0;4.1;0.24;16;42;6.6;3;4;3;11;2
fffe33003400330035003900;24/11/2008;Female;Service;No;3;6.0;5.5;0.45;16;52;6.0;2;2;5;3;0
fffe3900350033003600;21/06/2008;Male;Service;No;5;9.0;8.8;0.85;16;51;5.8;1;3;5;10;0
fffe31003000300037003800;20/05/2008;Female;Service;No;2;4.0;5.5;0.34;16;36;6.7;3;4;3;7;5
fffe3900300031003000;29/11/2008;Male;Product;Yes;1;3.0;5.9;0.36;16;41;6.9;5;5;3;8;3
fffe33003100360037003700;11/08/2008;Female;Service;Yes;2;4.0;4.5;0.34;16;41;7.5;3;5;1;15;5
fffe3900350039003000;29/04/2008;Male;Product;No;3;6.0;8.0;0.59;16;57;4.9;1;3;4;5;0
fffe31003200370030003900;22/07/2008;Female;Service;Yes;2;4.0;5.8;0.44;16;59;5.2;2;2;5;10;0
fffe3800380035003500;19/11/2008;Male;Service;No;1;3.0;4.4;0.38;16;41;6.5;3;5;3;7;5
fffe32003000310034003600;19/12/2008;Female;Product;Yes;2;4.0;6.1;;16;39;6.8;3;3;1;8;3
fffe31003700380033003600;29/12/2008;Male;Product;No;3;6.0;7.5;0.59;16;59;6.1;2;2;5;4;1
fffe33003400360035003000;20/06/2008;Female;Service;No;2;7.0;8.0;0.7;16;58;5.6;1;1;4;13;1
fffe31003200370036003300;31/08/2008;Male;Product;No;2;3.0;6.1;0.42;16;49;5.9;2;3;5;3;0
fffe32003000320030003900;26/05/2008;Male;Product;Yes;1;2.0;5.1;0.46;16;59;5.4;2;2;4;12;0
fffe31003800390034003900;25/12/2008;Female;Service;Yes;3;4.0;;0.48;16;51;5.5;1;2;4;13;1
fffe32003800370033003600;14/02/2008;Female;Service;Yes;3;5.0;4.7;0.39;16;35;6.4;5;4;2;4;5
fffe33003000360035003300;04/03/2008;Female;Service;Yes;3;5.0;5.2;0.42;16;52;4.9;1;1;4;16;0
fffe31003100370037003500;06/10/2008;Male;Product;Yes;0;1.0;0.0;0.0;16;42;7.0;3;4;1;17;5
fffe32003700320037003100;21/10/2008;Female;Service;Yes;2;5.0;5.1;0.46;16;59;6.1;2;2;5;3;0
fffe31003800300037003300;16/08/2008;Male;Product;Yes;1;2.0;4.4;0.3;16;37;6.3;5;3;2;17;3
fffe32003700370030003400;29/10/2008;Female;Product;No;4;6.0;6.9;0.63;16;56;5.9;2;1;5;14;1
fffe31003400310039003400;15/07/2008;Female;Service;No;2;5.0;5.3;0.45;16;59;5.8;2;1;4;8;1
fffe3300370039003900;21/04/2008;Male;Service;No;2;3.0;;0.49;16;53;5.9;2;1;5;8;0
fffe3400350038003300;01/09/2008;Female;Service;Yes;3;6.0;6.0;0.58;16;52;5.8;1;3;5;18;1
fffe31003900300039003700;06/01/2008;Male;Product;No;4;7.0;8.6;0.67;17;53;5.2;2;2;5;7;1
fffe32003400330033003400;20/03/2008;Male;Service;No;2;5.0;7.3;0.71;16;56;5.1;1;2;4;4;1
fffe32003800310033003800;14/04/2008;Female;Service;Yes;1;3.0;5.5;0.48;16;51;5.6;2;3;4;8;0
fffe3700360035003600;21/05/2008;Male;Service;Yes;1;3.0;2.9;0.22;16;43;7.0;5;5;3;16;4
fffe32003000340039003700;11/06/2008;Female;Product;No;3;6.0;5.1;0.43;16;50;5.6;1;2;5;16;1
fffe3300350035003000;03/10/2008;Male;Service;Yes;4;8.0;;0.74;16;50;5.1;1;1;4;8;1
fffe3800350037003300;16/02/2008;Male;Service;No;2;5.0;6.4;0.57;16;49;5.4;1;2;5;17;0
fffe31003900330038003200;05/02/2008;Female;Service;Yes;2;3.0;;0.22;16;44;6.7;5;4;3;17;3
fffe3100360031003700;11/08/2008;Male;Service;Yes;1;;4.8;;16;36;6.7;4;4;2;13;5
fffe31003600380030003300;19/11/2008;Female;Service;No;3;;5.8;0.47;16;51;6.0;2;1;4;19;0
fffe33003400360039003100;29/10/2008;Female;Service;Yes;3;4.0;6.1;0.47;16;57;5.9;2;2;5;3;1
fffe33003000300033003700;11/06/2008;Female;Service;Yes;3;5.0;5.3;0.47;16;59;5.2;1;3;5;15;1
fffe3400370031003000;13/10/2008;Female;Product;Yes;1;4.0;5.5;0.34;16;41;7.3;3;4;1;5;3
fffe32003800370039003300;10/10/2008;Female;Service;Yes;1;3.0;5.5;0.37;16;38;6.8;4;5;3;3;4
fffe3400310036003300;26/09/2008;Female;Service;No;3;7.0;7.8;0.8;16;59;5.8;2;2;5;4;1
fffe31003100380031003200;01/06/2008;Male;Product;No;4;8.0;8.9;0.8;16;54;5.9;2;1;4;6;0
fffe3200390038003900;11/07/2008;Female;Product;No;2;;;0.36;16;40;6.9;3;5;2;9;2
fffe32003000370031003000;23/07/2008;Female;Service;Yes;1;4.0;6.9;0.49;16;52;5.8;2;3;5;15;0
fffe31003500390038003500;10/07/2008;Female;Service;Yes;1;3.0;;0.35;16;42;7.3;4;3;2;5;2
fffe31003400340032003700;09/08/2008;Male;Service;Yes;0;1.0;0.0;0.0;16;38;7.7;3;5;1;19;3
fffe33003000340033003600;05/10/2008;Male;Service;Yes;4;9.0;9.3;0.86;16;48;5.6;1;2;5;13;0
fffe31003500340030003900;14/03/2008;Female;Service;Yes;1;2.0;4.6;0.33;16;38;7.2;4;5;1;11;3
fffe3800310033003200;04/08/2008;Female;Service;Yes;2;5.0;7.3;;16;37;7.1;3;4;3;5;4
